sector;tipo_jornada;unidad;periodo;valor
Total nacional;Jornada a tiempo completo;Porcentaje;2011T2;86.1
Total nacional;Jornada a tiempo completo;Porcentaje;2011T1;86.1
Total nacional;Jornada a tiempo completo;Porcentaje;2010T4;86.8
Total nacional;Jornada a tiempo completo;Porcentaje;2010T3;87.5
Total nacional;Jornada a tiempo completo;Porcentaje;2010T2;86.8
Total nacional;Jornada a tiempo completo;Porcentaje;2010T1;86.9
Total nacional;Jornada a tiempo completo;Porcentaje;2009T4;87.0
Total nacional;Jornada a tiempo completo;Porcentaje;2009T3;88.0
Total nacional;Jornada a tiempo completo;Porcentaje;2009T2;87.3
Total nacional;Jornada a tiempo completo;Porcentaje;2009T1;87.5
Total nacional;Jornada a tiempo completo;Porcentaje;2008T4;87.7
Total nacional;Jornada a tiempo completo;Porcentaje;2008T3;88.8
Total nacional;Jornada a tiempo completo;Porcentaje;2008T2;88.2
Total nacional;Jornada a tiempo completo;Porcentaje;2008T1;88.2
Total nacional;Jornada a tiempo parcial;Valor absoluto;2026T2;3116.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2026T1;3035.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2025T4;3089.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2025T3;2897.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2025T2;3093.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2025T1;3075.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2024T4;3059.0
Total nacional;Jornada a tiempo parcial;Valor absoluto;2024T3;2793.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2024T2;2942.6
Total nacional;Jornada a tiempo parcial;Valor absoluto;2024T1;2941.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2023T4;2881.6
Total nacional;Jornada a tiempo parcial;Valor absoluto;2023T3;2689.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2023T2;2876.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2023T1;2826.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2022T4;2804.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2022T3;2664.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2022T2;2838.2
Total nacional;Jornada a tiempo parcial;Valor absoluto;2022T1;2832.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2021T4;2747.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2021T3;2703.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2021T2;2845.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2021T1;2707.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2020T4;2799.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2020T3;2654.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2020T2;2486.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2020T1;2848.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2019T4;2944.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2019T3;2789.2
Total nacional;Jornada a tiempo parcial;Valor absoluto;2019T2;2951.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2019T1;2900.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2018T4;2894.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2018T3;2713.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2018T2;2899.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2018T1;2814.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2017T4;2805.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2017T3;2725.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2017T2;2870.1
