tipo_jornada,codigo_cnae,descripcion_cnae,componente_coste,anio,trimestre,periodo,coste_salarial_mensual_eur
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2014,T2,2014-T2,1632.1
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2014,T1,2014-T1,1632.94
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2013,T4,2013-T4,1627.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2013,T3,2013-T3,1641.23
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2013,T2,2013-T2,1632.35
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2013,T1,2013-T1,1633.32
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2012,T4,2012-T4,1633.16
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2012,T3,2012-T3,1644.48
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2012,T2,2012-T2,1635.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2012,T1,2012-T1,1641.99
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2011,T4,2011-T4,1632.65
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2011,T3,2011-T3,1641.19
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2011,T2,2011-T2,1627.17
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2011,T1,2011-T1,1621.98
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2010,T4,2010-T4,1608.64
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2010,T3,2010-T3,1620.35
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2010,T2,2010-T2,1614.18
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2010,T1,2010-T1,1618.75
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario,2009,T4,2009-T4,1612.53
