tipo_jornada,codigo_cnae,descripcion_cnae,componente_coste,anio,trimestre,periodo,coste_hora_efectiva_eur
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2018,T3,2018-T3,13.78
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2018,T2,2018-T2,12.21
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2018,T1,2018-T1,12.54
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2017,T4,2017-T4,12.95
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2017,T3,2017-T3,13.52
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2017,T2,2017-T2,12.4
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2017,T1,2017-T1,12.07
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2016,T4,2016-T4,12.84
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2016,T3,2016-T3,13.57
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2016,T2,2016-T2,11.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2016,T1,2016-T1,12.61
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2015,T4,2015-T4,12.69
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2015,T3,2015-T3,13.51
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2015,T2,2015-T2,12.43
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2015,T1,2015-T1,12.23
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2014,T4,2014-T4,12.55
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2014,T3,2014-T3,13.58
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2014,T2,2014-T2,12.44
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2014,T1,2014-T1,12.11
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2013,T4,2013-T4,12.63
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2013,T3,2013-T3,13.54
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2013,T2,2013-T2,12.01
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2013,T1,2013-T1,12.3
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2012,T4,2012-T4,12.7
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2012,T3,2012-T3,13.53
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2012,T2,2012-T2,12.29
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2012,T1,2012-T1,11.94
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2011,T4,2011-T4,12.58
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2011,T3,2011-T3,13.49
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2011,T2,2011-T2,12.1
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2011,T1,2011-T1,11.76
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2010,T4,2010-T4,12.29
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2010,T3,2010-T3,12.9
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2010,T2,2010-T2,11.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2010,T1,2010-T1,11.83
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2009,T4,2009-T4,12.15
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2009,T3,2009-T3,13.05
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2009,T2,2009-T2,11.92
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2009,T1,2009-T1,11.6
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2008,T4,2008-T4,11.6
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2008,T3,2008-T3,12.58
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2008,T2,2008-T2,10.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2008,T1,2008-T1,11.19
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2026,T1,2026-T1,24.83
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2025,T4,2025-T4,26.28
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2025,T3,2025-T3,24.36
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2025,T2,2025-T2,24.48
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2025,T1,2025-T1,22.27
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2024,T4,2024-T4,25.42
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2024,T3,2024-T3,23.6
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2024,T2,2024-T2,22.67
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2024,T1,2024-T1,22.32
Ambas jornadas,B,Industrias extractivas,Coste salarial total por hora,2023,T4,2023-T4,24.82
